<Request 'http://127.0.0.1:5000/search' [POST]> = {'o', 'a'}
<Request 'http://127.0.0.1:5000/search' [POST]> = {'o', 'a', 'i'}
['__annotations__', '__class__', '__delattr__', '__dict__', '__dir__', '__doc__', '__enter__', '__eq__', '__exit__', '__format__', '__ge__', '__getattribute__', '__gt__', '__hash__', '__init__', '__init_subclass__', '__le__', '__lt__', '__module__', '__ne__', '__new__', '__reduce__', '__reduce_ex__', '__repr__', '__setattr__', '__sizeof__', '__str__', '__subclasshook__', '__weakref__', '_cached_json', '_get_file_stream', '_get_stream_for_parsing', '_load_form_data', '_parse_content_type', '_parsed_content_type', 'accept_charsets', 'accept_encodings', 'accept_languages', 'accept_mimetypes', 'access_control_request_headers', 'access_control_request_method', 'access_route', 'application', 'args', 'authorization', 'base_url', 'blueprint', 'blueprints', 'cache_control', 'charset', 'close', 'content_encoding', 'content_length', 'content_md5', 'content_type', 'cookies', 'data', 'date', 'dict_storage_class', 'encoding_errors', 'endpoint', 'environ', 'files', 'form', 'form_data_parser_class', 'from_values', 'full_path', 'get_data', 'get_json', 'headers', 'host', 'host_url', 'if_match', 'if_modified_since', 'if_none_match', 'if_range', 'if_unmodified_since', 'input_stream', 'is_json', 'is_multiprocess', 'is_multithread', 'is_run_once', 'is_secure', 'json', 'json_module', 'list_storage_class', 'make_form_data_parser', 'max_content_length', 'max_form_memory_size', 'max_forwards', 'method', 'mimetype', 'mimetype_params', 'on_json_loading_failed', 'origin', 'parameter_storage_class', 'path', 'pragma', 'query_string', 'range', 'referrer', 'remote_addr', 'remote_user', 'root_path', 'root_url', 'routing_exception', 'scheme', 'script_root', 'server', 'shallow', 'stream', 'trusted_hosts', 'url', 'url_charset', 'url_root', 'url_rule', 'user_agent', 'user_agent_class', 'values', 'view_args', 'want_form_data_parsed'] = {'o', 'e', 'i', 'a'}
ImmutableMultiDict([('phrase', 'sdlfihadsbfoaiuwb'), ('letters', 'aeiou')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36|{'u', 'a', 'o', 'i'}
ImmutableMultiDict([('phrase', 'dsñlfkjbadspbdasbc'), ('letters', 'aeiou')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36|{'a'}|<class 'datetime.date'>
ImmutableMultiDict([('phrase', 'sñpdojfcpaesicaso'), ('letters', 'aeiou')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36|{'a', 'o', 'i', 'e'}|2022-11-09
ImmutableMultiDict([('phrase', 'aswelijdfcbpcnasdi'), ('letters', 'aeiou')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36|{'a', 'e', 'i'}|2022-11-09 17:09:51.630253
ImmutableMultiDict([('phrase', 'asñojfchfzs'), ('letters', 'aeiou')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36|{'o', 'a'}|2022-11-09 17:12:14.209320
ImmutableMultiDict([('phrase', 'oidasfdvblcdasbdslvsdbnvsdaoivbovdsdlibvsdhjb'), ('letters', 'aeiou')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|{'i', 'o', 'a'}|2022-12-08 16:32:41.237597
ImmutableMultiDict([('phrase', '.kjblkhb'), ('letters', 'aeiou')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|set()|2022-12-08 16:33:38.940870
ImmutableMultiDict([('phrase', 'lkjvblj ljb ljh '), ('letters', 'aeiou')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|set()|2022-12-08 16:34:29.432286
ImmutableMultiDict([('phrase', ''), ('letters', 'aeiou')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|set()|2022-12-08 16:34:34.872405
ImmutableMultiDict([('phrase', 'hola que pasas cabeza'), ('letters', 'aeiou,osiduah,sqifud')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|{'a'} {'e'} set() {'o'} {'u'} set() {'o'} {'s'} set() set() {'u'} {'a'} {'h'} set() {'s'} {'q'} set() set() {'u'} set() |2022-12-08 16:49:01.190854
ImmutableMultiDict([('phrase', 'ldjkfbleakdsjabflsjdbgvlsad'), ('letters', 'aeiou,aweidfbaw,wleihfhb')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|{'a'} {'e'} set() set() set() set() {'a'} set() {'e'} set() {'d'} {'f'} {'b'} {'a'} set() set() set() {'l'} {'e'} set() set() {'f'} set() {'b'} |2022-12-08 16:59:27.603844
ImmutableMultiDict([('phrase', 'oweidfohabdfds'), ('letters', 'aeiou')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|{'a'} {'e'} {'i'} {'o'} set() |2022-12-08 17:01:41.258849
ImmutableMultiDict([('phrase', 'psifdbgvpisdbv'), ('letters', 'aeiou,lawdifjhp,awidj')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|{'i'} {'f', 'p', 'i', 'd'} {'i', 'd'} |2022-12-08 17:05:49.906459
ImmutableMultiDict([('phrase', 'òseihfjdsnjkdsbv'), ('letters', 'aeiou,asdibvfsd')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|{'e', 'i'} {'v', 's', 'b', 'f', 'd', 'i'} |2022-12-08 17:23:59.222175
ImmutableMultiDict([('phrase', 'oisfdhpiafhbsdsdcds'), ('letters', 'aeiou,IFOOIDSB')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|{'i', 'o', 'a'} set() |2022-12-08 17:28:04.651861
ImmutableMultiDict([('phrase', 'kgckuyvvuvgkjvjgkj'), ('letters', 'aeiou,ghcvkghchg')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|{'u'} {'g', 'c', 'k', 'v'} |2022-12-08 17:33:06.188209
ImmutableMultiDict([('phrase', 'aaaaa'), ('letters', 'aeiou,aa')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|{'a'} {'a'} |2022-12-08 17:33:21.203747
ImmutableMultiDict([('phrase', 'iycfchckhgc'), ('letters', 'aeiou')])|127.0.0.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|{'i'} |2022-12-08 17:33:40.335444
